Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-76.9,,,,,,21.3,,,,,,,
,2,,,,-76.9,,,,,,21.3,,,,0.0,,,
,3,,,,-76.9,,,,,,21.3,,,,0.0,,,
,4,,,,-76.9,,,,,,21.3,,,,0.0,,,
,5,,,,-77.0,,,,,,21.3,,,,-0.1,,,
,6,,,,-77.0,,,,,,21.3,,,,0.0,,,
,7,,,,-77.0,,,,,,21.3,,,,0.0,,,
,8,,,,-77.1,,,,,,21.3,,,,-0.1,,,
,9,,,,-77.1,,,,,,21.3,,,,0.0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,41,1.1810,,,,174.2,,,0.0050,,,22.0,,1.7,,,,
,42,1.1835,,,,175.2,,,0.0025,,,22.0,,1.0,,,,
,43,1.1860,,,,175.9,,,0.0025,,,22.0,,0.7,,,,
,44,1.1890,,,,176.8,,,0.0030,,,22.0,,0.9,,,,
,45,1.1920,,,,177.5,,,0.0030,,,22.0,,0.7,,,,
,46,1.1955,,,,178.4,,,0.0035,,,22.0,,0.9,,,,
,47,1.1980,,,,179.1,,,0.0025,,,22.0,,0.7,,,,
,48,1.2005,,,,179.8,,,0.0025,,,22.0,,0.7,,,,
,49,1.2025,,,,180.4,,,0.0020,,,22.0,,0.6,,,,
,50,1.2050,,,,180.9,,,0.0025,,,22.0,,0.5,,,,
,51,1.2075,,,,181.5,,,0.0025,,,22.0,,0.6,,,,
,52,1.2090,,,,182.1,,,0.0015,,,22.0,,0.6,,,,
,53,1.2095,,,,182.4,,,0.0005,,,22.0,,0.3,,,,
,54,1.2120,,,,182.6,,,0.0025,,,22.0,,0.2,,,,
,55,1.2135,,,,183.0,,,0.0015,,,22.0,,0.4,,,,
,56,1.2135,,,,183.4,,,0.0000,,,22.0,,0.4,,,,
,57,1.2140,,,,183.5,,,0.0005,,,22.0,,0.1,,,,
,58,1.2165,,,,183.8,,,0.0025,,,22.0,,0.3,,,,
,,1.2170,,,,184.0,,,,,,,,,,,,EP
,59,1.2175,,,,184.2,,,0.0010,,,22.0,,0.4,,,,
,60,1.2175,,,,184.3,,,0.0000,,,22.0,,0.1,,,,
,61,1.2175,,,,184.5,,,0.0000,,,22.0,,0.2,,,,
,62,1.2175,,,,184.5,,,0.0000,,,22.0,,0.0,,,,
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 2/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 2/12",,,,,,,,,,,,,,
,Time,,V,,,,,Meas. value,,dV,,,Temp.,,,,dE,
,[s],,[mL],,,,,[mV],,[mL],,,[°C],,,,[mV],
,0,,0.0000,,,,,184.4,,,,,22.4,,,,,
,3,,0.0200,,,,,187.8,,0.0200,,,22.4,,,,3.4,
,6,,0.0400,,,,,191.3,,0.0200,,,22.4,,,,3.5,
,9,,0.0600,,,,,194.6,,0.0200,,,22.4,,,,3.3,
,12,,0.0800,,,,,197.4,,0.0200,,,22.4,,,,2.8,
,15,,0.1000,,,,,200.1,,0.0200,,,22.4,,,,2.7,
,18,,0.1200,,,,,202.4,,0.0200,,,22.4,,,,2.3,
,21,,0.1400,,,,,204.6,,0.0200,,,22.4,,,,2.2,
,24,,0.1600,,,,,206.5,,0.0200,,,22.4,,,,1.9,
,27,,0.1800,,,,,208.2,,0.0200,,,22.4,,,,1.7,
,30,,0.2000,,,,,209.9,,0.0200,,,22.4,,,,1.7,
,33,,0.2200,,,,,211.5,,0.0200,,,22.4,,,,1.6,
,36,,0.2400,,,,,213.1,,0.0200,,,22.4,,,,1.6,
,39,,0.2600,,,,,214.5,,0.0200,,,22.4,,,,1.4,
,42,,0.2800,,,,,215.9,,0.0200,,,22.4,,,,1.4,
,45,,0.3000,,,,,217.2,,0.0200,,,22.4,,,,1.3,
,48,,0.3200,,,,,218.5,,0.0200,,,22.4,,,,1.3,
,51,,0.3400,,,,,219.6,,0.0200,,,22.4,,,,1.1,
,54,,0.3600,,,,,220.7,,0.0200,,,22.4,,,,1.1,
,57,,0.3800,,,,,221.7,,0.0200,,,22.4,,,,1.0,
,60,,0.4000,,,,,222.7,,0.0200,,,22.4,,,,1.0,
,63,,0.4200,,,,,223.7,,0.0200,,,22.4,,,,1.0,
,66,,0.4400,,,,,224.6,,0.0200,,,22.4,,,,0.9,
,70,,0.4600,,,,,225.6,,0.0200,,,22.4,,,,1.0,
,72,,0.4800,,,,,226.5,,0.0200,,,22.4,,,,0.9,
,76,,0.5000,,,,,227.4,,0.0200,,,22.4,,,,0.9,
,79,,0.5200,,,,,228.2,,0.0200,,,22.4,,,,0.8,
,82,,0.5400,,,,,229.0,,0.0200,,,22.4,,,,0.8,
,85,,0.5600,,,,,229.8,,0.0200,,,22.4,,,,0.8,
,88,,0.5800,,,,,230.5,,0.0200,,,22.4,,,,0.7,
,91,,0.6000,,,,,231.2,,0.0200,,,22.4,,,,0.7,
,94,,0.6200,,,,,231.9,,0.0200,,,22.4,,,,0.7,
,97,,0.6400,,,,,232.6,,0.0200,,,22.4,,,,0.7,
,100,,0.6600,,,,,233.3,,0.0200,,,22.4,,,,0.7,
,103,,0.6800,,,,,233.9,,0.0200,,,22.4,,,,0.6,
,106,,0.7000,,,,,234.6,,0.0200,,,22.4,,,,0.7,
,109,,0.7200,,,,,235.3,,0.0200,,,22.4,,,,0.7,
,112,,0.7400,,,,,235.9,,0.0200,,,22.4,,,,0.6,
,115,,0.7600,,,,,236.5,,0.0200,,,22.4,,,,0.6,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 3/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 3/12",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-62.5,,,,,,22.1,,,,,,,
,2,,,,-62.5,,,,,,22.1,,,,0.0,,,
,3,,,,-62.5,,,,,,22.1,,,,0.0,,,
,4,,,,-62.5,,,,,,22.1,,,,0.0,,,
,5,,,,-62.5,,,,,,22.1,,,,0.0,,,
,6,,,,-62.5,,,,,,22.1,,,,0.0,,,
,7,,,,-62.6,,,,,,22.1,,,,-0.1,,,
,8,,,,-62.6,,,,,,22.1,,,,0.0,,,
,9,,,,-62.6,,,,,,22.1,,,,0.0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 3/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 3/12",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0.0000,,,,-62.6,,,,,,22.2,,,,,,
,1,0.0010,,,,-62.6,,,0.0010,,,22.2,,0.0,,,,
,2,0.0050,,,,-62.6,,,0.0040,,,22.2,,0.0,,,,
,3,0.0110,,,,-62.2,,,0.0060,,,22.2,,0.4,,,,
,4,0.0195,,,,-61.5,,,0.0085,,,22.2,,0.7,,,,
,5,0.0335,,,,-60.0,,,0.0140,,,22.2,,1.5,,,,
,6,0.0540,,,,-57.7,,,0.0205,,,22.2,,2.3,,,,
,7,0.0780,,,,-53.6,,,0.0240,,,22.2,,4.1,,,,
,8,0.1115,,,,-47.5,,,0.0335,,,22.2,,6.1,,,,
,9,0.1530,,,,-38.8,,,0.0415,,,22.2,,8.7,,,,
,10,0.2045,,,,-27.9,,,0.0515,,,22.2,,10.9,,,,
,11,0.2665,,,,-16.4,,,0.0620,,,22.2,,11.5,,,,
,12,0.3410,,,,-5.2,,,0.0745,,,22.2,,11.2,,,,
,13,0.4175,,,,5.1,,,0.0765,,,22.2,,10.3,,,,
,14,0.5165,,,,17.6,,,0.0990,,,22.2,,12.5,,,,
,15,0.6275,,,,32.2,,,0.1110,,,22.2,,14.6,,,,
,16,0.7525,,,,49.8,,,0.1250,,,22.2,,17.6,,,,
,17,0.8895,,,,72.7,,,0.1370,,,22.2,,22.9,,,,
,18,0.9910,,,,103.8,,,0.1015,,,22.2,,31.1,,,,
,19,0.9915,,,,106.7,,,0.0005,,,22.2,,2.9,,,,
,20,0.9945,,,,105.4,,,0.0030,,,22.2,,-1.3,,,,
,21,0.9985,,,,106.3,,,0.0040,,,22.2,,0.9,,,,
,22,1.0055,,,,109.4,,,0.0070,,,22.2,,3.1,,,,
,23,1.0155,,,,113.5,,,0.0100,,,22.2,,4.1,,,,
,24,1.0275,,,,118.3,,,0.0120,,,22.2,,4.8,,,,
,25,1.0405,,,,122.8,,,0.0130,,,22.2,,4.5,,,,
,26,1.0570,,,,127.1,,,0.0165,,,22.2,,4.3,,,,
,27,1.0750,,,,136.0,,,0.0180,,,22.2,,8.9,,,,
,28,1.0840,,,,141.7,,,0.0090,,,22.2,,5.7,,,,
,29,1.0890,,,,144.7,,,0.0050,,,22.2,,3.0,,,,
,30,1.0955,,,,147.5,,,0.0065,,,22.2,,2.8,,,,
,31,1.1030,,,,150.5,,,0.0075,,,22.2,,3.0,,,,
,32,1.1120,,,,154.3,,,0.0090,,,22.2,,3.8,,,,
,33,1.1200,,,,158.8,,,0.0080,,,22.2,,4.5,,,,
,34,1.1240,,,,161.5,,,0.0040,,,22.2,,2.7,,,,
,35,1.1270,,,,163.5,,,0.0030,,,22.2,,2.0,,,,
,36,1.1310,,,,164.8,,,0.0040,,,22.2,,1.3,,,,
,37,1.1355,,,,166.4,,,0.0045,,,22.2,,1.6,,,,
,38,1.1415,,,,168.4,,,0.0060,,,22.2,,2.0,,,,
,39,1.1475,,,,170.5,,,0.0060,,,22.2,,2.1,,,,
,40,1.1515,,,,172.2,,,0.0040,,,22.2,,1.7,,,,
,41,1.1540,,,,173.2,,,0.0025,,,22.2,,1.0,,,,
,42,1.1570,,,,174.1,,,0.0030,,,22.2,,0.9,,,,
,43,1.1605,,,,174.9,,,0.0035,,,22.2,,0.8,,,,
,44,1.1645,,,,175.9,,,0.0040,,,22.2,,1.0,,,,
,45,1.1685,,,,177.0,,,0.0040,,,22.2,,1.1,,,,
,46,1.1715,,,,177.8,,,0.0030,,,22.2,,0.8,,,,
,47,1.1735,,,,178.6,,,0.0020,,,22.2,,0.8,,,,
,48,1.1765,,,,179.1,,,0.0030,,,22.2,,0.5,,,,
,49,1.1785,,,,179.7,,,0.0020,,,22.2,,0.6,,,,
,50,1.1810,,,,180.3,,,0.0025,,,22.2,,0.6,,,,
,51,1.1835,,,,180.9,,,0.0025,,,22.2,,0.6,,,,
,52,1.1855,,,,181.5,,,0.0020,,,22.2,,0.6,,,,
,53,1.1875,,,,182.0,,,0.0020,,,22.2,,0.5,,,,
,54,1.1885,,,,182.3,,,0.0010,,,22.2,,0.3,,,,
,55,1.1895,,,,182.6,,,0.0010,,,22.2,,0.3,,,,
,56,1.1910,,,,182.9,,,0.0015,,,22.2,,0.3,,,,
,57,1.1920,,,,183.1,,,0.0010,,,22.3,,0.2,,,,
,58,1.1930,,,,183.3,,,0.0010,,,22.2,,0.2,,,,
,59,1.1945,,,,183.6,,,0.0015,,,22.3,,0.3,,,,
,60,1.1955,,,,183.8,,,0.0010,,,22.3,,0.2,,,,
,,1.195833,,,,184.0,,,,,,,,,,,,EP
,61,1.1960,,,,184.1,,,0.0005,,,22.3,,0.3,,,,
,62,1.1960,,,,184.3,,,0.0000,,,22.3,,0.2,,,,
,63,1.1960,,,,184.3,,,0.0000,,,22.3,,0.0,,,,
,64,1.1960,,,,184.4,,,0.0000,,,22.3,,0.1,,,,
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 3/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 3/12",,,,,,,,,,,,,,
,Time,,V,,,,,Meas. value,,dV,,,Temp.,,,,dE,
,[s],,[mL],,,,,[mV],,[mL],,,[°C],,,,[mV],
,0,,0.0000,,,,,184.5,,,,,22.6,,,,,
,3,,0.0200,,,,,188.0,,0.0200,,,22.6,,,,3.5,
,6,,0.0400,,,,,191.5,,0.0200,,,22.6,,,,3.5,
,9,,0.0600,,,,,194.8,,0.0200,,,22.6,,,,3.3,
,12,,0.0800,,,,,197.6,,0.0200,,,22.6,,,,2.8,
,15,,0.1000,,,,,200.3,,0.0200,,,22.6,,,,2.7,
,18,,0.1200,,,,,202.7,,0.0200,,,22.6,,,,2.4,
,21,,0.1400,,,,,204.9,,0.0200,,,22.6,,,,2.2,
,24,,0.1600,,,,,206.7,,0.0200,,,22.6,,,,1.8,
,27,,0.1800,,,,,208.5,,0.0200,,,22.6,,,,1.8,
,30,,0.2000,,,,,210.2,,0.0200,,,22.6,,,,1.7,
,33,,0.2200,,,,,211.9,,0.0200,,,22.6,,,,1.7,
,36,,0.2400,,,,,213.4,,0.0200,,,22.6,,,,1.5,
,39,,0.2600,,,,,214.8,,0.0200,,,22.7,,,,1.4,
