Analyst,Sample.ID,Sample.Tag,Notes1,Type,X434.nm,X578.nm,X730.nm,dyeV,salinity,temperature,a1a2,a1a2crct,pH_is,pH_a,pH_is_crct,pH_a_crct
RH; BR, BAYSTD1-02192020-G, no dye,0, Measurement 1,0.0605,0.0465,0.119,0,27.53,11.92,0.990889515,0.992542375,7.885846901,7.694142805,7.886621519,7.694917423
RH; BR, BAYSTD1-02192020-G, m-cresol added,0, Measurement 2,0.6642,0.6447,0.119,80,27.53,11.92,NA,NA,NA,NA,NA,NA
BR; RH, Blank, no dye,0, Blank,0,1.00E-04,2.00E-04,0,NA,NA,NA,NA,NA,NA,NA,NA
BR; RH, AMB-6-1-1, no dye,0, Measurement 1,0.0507,0.043,0.1185,0,26.7,14.1,0.941838649,0.942914672,7.830873081,7.672332069,7.831402296,7.672861285
BR; RH, AMB-6-1-1, m-cresol added,0, Measurement 2,0.6899,0.645,0.1181,80,26.7,14.1,NA,NA,NA,NA,NA,NA
BR; RH, AMB-6-2-2, no dye,0, Measurement 1,0.048,0.0401,0.1153,0,26.7,14.1,0.965191832,0.966542488,7.842232194,7.683691183,7.842881177,7.684340165
BR; RH, AMB-6-2-2, m-cresol added,0, Measurement 2,0.6939,0.6635,0.1148,80,26.7,14.1,NA,NA,NA,NA,NA,NA
BR; RH, AMB-6-3-3, no dye,0, Measurement 1,0.054,0.0441,0.118,0,26.7,14.1,0.953598775,0.954813096,7.836626189,7.678085178,7.837216409,7.678675397
BR; RH, AMB-6-3-3, m-cresol added,0, Measurement 2,0.7055,0.6653,0.1165,80,26.7,14.1,NA,NA,NA,NA,NA,NA
BR; RH, AMB-4-1-4, no dye,0, Measurement 1,0.2731,0.2334,0.2851,0,26.6,14.2,0.999839744,1.001597859,7.857317008,7.700285168,7.858133958,7.701102118
BR; RH, AMB-4-1-4, m-cresol added,0, Measurement 2,0.8876,0.8478,0.2756,80,26.6,14.2,NA,NA,NA,NA,NA,NA
BR; RH, AMB-4-2-E, no dye,0, Measurement 1,0.3114,0.2607,0.305,0,26.6,14.2,0.98940544,0.991040848,7.852440389,7.695408549,7.853207918,7.696176078
BR; RH, AMB-4-2-E, m-cresol added,0, Measurement 2,0.9473,0.8899,0.3085,80,26.6,14.2,NA,NA,NA,NA,NA,NA
BR; RH, AMB-4-3-B, no dye,0, Measurement 1,0.3726,0.3144,0.3529,0,26.6,14.2,0.982345717,0.983898103,7.849113317,7.692081477,7.84984685,7.69281501
BR; RH, AMB-4-3-B, m-cresol added,0, Measurement 2,1.0285,0.9588,0.3574,80,26.6,14.2,NA,NA,NA,NA,NA,NA
BR; RH, AMB-2-1-D, no dye,0, Measurement 1,0.3436,0.2935,0.3372,0,26.3,14.6,0.986925088,0.988531327,7.845880824,7.694875183,7.846636461,7.69563082
BR; RH, AMB-2-1-D, m-cresol added,0, Measurement 2,0.9902,0.9316,0.3337,80,26.3,14.6,NA,NA,NA,NA,NA,NA
BR; RH, AMB-2-2-C, no dye,0, Measurement 1,0.2209,0.1873,0.2436,0,26.3,14.6,0.992517115,0.994189116,7.848506535,7.697500894,7.849288904,7.698283263
BR; RH, AMB-2-2-C, m-cresol added,0, Measurement 2,0.8416,0.8033,0.2362,80,26.3,14.6,NA,NA,NA,NA,NA,NA
BR; RH, AMB-2-3-G, no dye,0, Measurement 1,0.2426,0.2053,0.2584,0,26.3,14.6,1.013875286,1.015798459,7.858408353,7.707402712,7.859290277,7.708284636
BR; RH, AMB-2-3-G, m-cresol added,0, Measurement 2,0.8541,0.8253,0.2573,80,26.3,14.6,NA,NA,NA,NA,NA,NA
BR; RH, BAYSTD1-02202020, no dye,0, Measurement 1,0.1873,0.1501,0.2078,0,27.53,11.92,1.015993666,1.017941751,7.897482862,7.705778766,7.898374447,7.70667035
BR; RH, BAYSTD1-02202020, m-cresol added,0, Measurement 2,0.8192,0.7921,0.2082,80,27.53,11.92,NA,NA,NA,NA,NA,NA
