s,Analyst,Sample.ID,Sample.Tag,Notes1,Type,X434.nm,X578.nm,X730.nm,dyeV,salinity,temperature,a1a2,a1a2crct,pH_is,pH_a,pH_is_crct,pH_a_crct
2,CW,R1T1-1-1, no dye,0, Measurement 1,0.1893,0.1354,0.2028,0,26.8,15.5,1.03488746,1.037057736,7.853406925,7.715899164,7.854383039,7.716875279
3,CW,R1T1-1-1, m-cresol added,0, Measurement 2,0.8089,0.7767,80,80,26.8,15.5,NA,NA,NA,NA,NA,NA
4,CW,R1T2-1-2, no dye,0, Measurement 1,0.0825,0.0481,0.1279,0,26.7,15.4,0.041845868,0.032337975,6.359698552,6.220695185,6.2214909,6.082487533
5,CW,R1T2-1-2, m-cresol added,0, Measurement 2,0.9455,0.0868,0.1306,80,26.7,15.4,NA,NA,NA,NA,NA,NA
6,CW,R1T3-1-3, no dye,0, Measurement 1,0.071,0.0417,0.1239,0,30.5,15.4,1.235456586,1.239985555,7.930102066,7.7910987,7.93182738,7.792824013
7,CW,R1T3-1-3, m-cresol added,0, Measurement 2,0.6529,0.76,0.1265,80,30.5,15.4,NA,NA,NA,NA,NA,NA
8,CW,R1T4-3-E, no dye,0, Measurement 1,0.0736,0.044,0.1246,0,30.7,15.4,0.291871807,0.285304219,7.269343808,7.130340441,7.259043506,7.12004014
9,CW,R1T4-3-E, m-cresol added,0, Measurement 2,1.1588,0.3669,0.1333,80,30.7,15.4,NA,NA,NA,NA,NA,NA
10,CW,R2T1-2-G, no dye,0, Measurement 1,0.08,0.0482,0.1275,0,26.4,14.7,0.990583232,0.992232491,7.845885139,7.696383431,7.846658296,7.697156587
11,CW,R2T1-2-G, m-cresol added,0, Measurement 2,1.077,1.0359,0.1369,80,26.4,14.7,NA,NA,NA,NA,NA,NA
12,CW,R2T2-2-4, no dye,0, Measurement 1,0.1103,0.0726,0.1472,0,26.4,14.6,0.276819972,0.270075375,7.266453004,7.115447363,7.255284441,7.1042788
13,CW,R2T2-2-4, m-cresol added,0, Measurement 2,2.0769,0.6256,0.1591,80,26.4,14.6,NA,NA,NA,NA,NA,NA
1,CWRH, Blank, no dye,0, Blank,2.00E-04,0,-1.00E-04,0,NA,NA,NA,NA,NA,NA,NA,NA
2,CWRH, R1T3-2-1, no dye,0, Measurement 1,0.0548,0.0435,0.1173,0,30.5,15.4,1.300264317,1.305555426,7.954252473,7.815249107,7.956174845,7.817171478
3,CWRH, R1T3-2-1, m-cresol added,0, Measurement 2,0.6227,0.7818,0.1177,80,30.5,15.4,NA,NA,NA,NA,NA,NA
4,CWRH, R1T3-3-2, no dye,0, Measurement 1,0.0511,0.0418,0.1155,0,30.5,15.4,1.291148116,1.296332018,7.950923401,7.811920035,7.952819114,7.813815747
5,CWRH, R1T3-3-2, m-cresol added,0, Measurement 2,0.622,0.7788,0.1159,80,30.5,15.4,NA,NA,NA,NA,NA,NA
6,CWRH, R1T4-1-3, no dye,0, Measurement 1,0.0625,0.0494,0.1223,0,30.7,15.4,0.310638298,0.304291404,7.297539585,7.158536218,7.288199926,7.149196559
7,CWRH, R1T4-1-3, m-cresol added,0, Measurement 2,0.767,0.2679,0.1218,80,30.7,15.4,NA,NA,NA,NA,NA,NA
8,CWRH, R1T4-2-4, no dye,0, Measurement 1,0.0691,0.0534,0.1253,0,30.7,15.4,0.338328856,0.332307604,7.336166182,7.197162816,7.328043467,7.1890401
9,CWRH, R1T4-2-4, m-cresol added,0, Measurement 2,0.7882,0.3045,0.1371,80,30.7,15.4,NA,NA,NA,NA,NA,NA
10,CWRH, R2T3-1-E, no dye,0, Measurement 1,0.0515,0.0423,0.116,0,30.8,14.6,1.272261484,1.277223279,7.955326111,7.80432047,7.95716552,7.806159879
11,CWRH, R2T3-1-E, m-cresol added,0, Measurement 2,0.6239,0.7688,0.1224,80,30.8,14.6,NA,NA,NA,NA,NA,NA
12,CWRH, R2T3-2-G, no dye,0, Measurement 1,0.0741,0.0604,0.1319,0,30.8,14.6,1.268463612,1.273380744,7.953913705,7.802908064,7.955741614,7.804735973
13,CWRH, R2T3-2-G, m-cresol added,0, Measurement 2,0.6274,0.7631,0.1287,80,30.8,14.6,NA,NA,NA,NA,NA,NA
14,CWRH, R2T3-3-C, no dye,0, Measurement 1,0.0841,0.0684,0.1389,0,30.8,14.6,1.244295763,1.248928681,7.944833223,7.793827582,7.946586486,7.795580845
15,CWRH, R2T3-3-C, m-cresol added,0, Measurement 2,0.6687,0.7954,0.1406,80,30.8,14.6,NA,NA,NA,NA,NA,NA
