Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,46,1.1830,,,,179.5,,,0.0020,,,21.5,,0.5,,,,
,47,1.1855,,,,180.2,,,0.0025,,,21.5,,0.7,,,,
,48,1.1875,,,,180.8,,,0.0020,,,21.5,,0.6,,,,
,49,1.1885,,,,181.2,,,0.0010,,,21.5,,0.4,,,,
,50,1.1910,,,,181.5,,,0.0025,,,21.5,,0.3,,,,
,51,1.1935,,,,182.1,,,0.0025,,,21.5,,0.6,,,,
,52,1.1940,,,,182.6,,,0.0005,,,21.5,,0.5,,,,
,53,1.1950,,,,182.7,,,0.0010,,,21.5,,0.1,,,,
,54,1.1960,,,,183.0,,,0.0010,,,21.5,,0.3,,,,
,55,1.1965,,,,183.1,,,0.0005,,,21.5,,0.1,,,,
,56,1.1970,,,,183.4,,,0.0005,,,21.5,,0.3,,,,
,57,1.1985,,,,183.5,,,0.0015,,,21.5,,0.1,,,,
,58,1.1995,,,,183.8,,,0.0010,,,21.5,,0.3,,,,
,,1.200167,,,,184.0,,,,,,,,,,,,EP
,59,1.2005,,,,184.1,,,0.0010,,,21.5,,0.3,,,,
,60,1.2005,,,,184.3,,,0.0000,,,21.5,,0.2,,,,
,61,1.2005,,,,184.4,,,0.0000,,,21.5,,0.1,,,,
,62,1.2005,,,,184.4,,,0.0000,,,21.5,,0.0,,,,
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 2/19",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 2/19",,,,,,,,,,,,,,
,Time,,V,,,,,Meas. value,,dV,,,Temp.,,,,dE,
,[s],,[mL],,,,,[mV],,[mL],,,[°C],,,,[mV],
,0,,0.0000,,,,,184.5,,,,,21.9,,,,,
,3,,0.0200,,,,,187.6,,0.0200,,,21.9,,,,3.1,
,6,,0.0400,,,,,191.2,,0.0200,,,21.9,,,,3.6,
,9,,0.0600,,,,,194.5,,0.0200,,,21.9,,,,3.3,
,12,,0.0800,,,,,197.4,,0.0200,,,21.9,,,,2.9,
,15,,0.1000,,,,,200.1,,0.0200,,,21.9,,,,2.7,
,18,,0.1200,,,,,202.4,,0.0200,,,21.9,,,,2.3,
,21,,0.1400,,,,,204.6,,0.0200,,,21.9,,,,2.2,
,24,,0.1600,,,,,206.5,,0.0200,,,21.9,,,,1.9,
,27,,0.1800,,,,,208.3,,0.0200,,,21.9,,,,1.8,
,30,,0.2000,,,,,210.1,,0.0200,,,21.9,,,,1.8,
,33,,0.2200,,,,,211.7,,0.0200,,,21.9,,,,1.6,
,36,,0.2400,,,,,213.2,,0.0200,,,21.9,,,,1.5,
,39,,0.2600,,,,,214.7,,0.0200,,,21.9,,,,1.5,
,42,,0.2800,,,,,216.1,,0.0200,,,21.9,,,,1.4,
,45,,0.3000,,,,,217.4,,0.0200,,,21.9,,,,1.3,
,48,,0.3200,,,,,218.6,,0.0200,,,21.9,,,,1.2,
,51,,0.3400,,,,,219.8,,0.0200,,,21.9,,,,1.2,
,54,,0.3600,,,,,220.9,,0.0200,,,21.9,,,,1.1,
,57,,0.3800,,,,,221.9,,0.0200,,,21.9,,,,1.0,
