Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-76.9,,,,,,21.3,,,,,,,
,2,,,,-76.9,,,,,,21.3,,,,0,,,
,3,,,,-76.9,,,,,,21.3,,,,0,,,
,4,,,,-76.9,,,,,,21.3,,,,0,,,
,5,,,,-77,,,,,,21.3,,,,-0.1,,,
,6,,,,-77,,,,,,21.3,,,,0,,,
,7,,,,-77,,,,,,21.3,,,,0,,,
,8,,,,-77.1,,,,,,21.3,,,,-0.1,,,
,9,,,,-77.1,,,,,,21.3,,,,0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,38,1.165,,,,169.6,,,0.0045,,,22,,1.5,,,,
,39,1.1705,,,,170.9,,,0.0055,,,22,,1.3,,,,
,40,1.176,,,,172.5,,,0.0055,,,22,,1.6,,,,
,41,1.181,,,,174.2,,,0.005,,,22,,1.7,,,,
,42,1.1835,,,,175.2,,,0.0025,,,22,,1,,,,
,43,1.186,,,,175.9,,,0.0025,,,22,,0.7,,,,
,44,1.189,,,,176.8,,,0.003,,,22,,0.9,,,,
,45,1.192,,,,177.5,,,0.003,,,22,,0.7,,,,
,46,1.1955,,,,178.4,,,0.0035,,,22,,0.9,,,,
,47,1.198,,,,179.1,,,0.0025,,,22,,0.7,,,,
,48,1.2005,,,,179.8,,,0.0025,,,22,,0.7,,,,
,49,1.2025,,,,180.4,,,0.002,,,22,,0.6,,,,
,50,1.205,,,,180.9,,,0.0025,,,22,,0.5,,,,
,51,1.2075,,,,181.5,,,0.0025,,,22,,0.6,,,,
,52,1.209,,,,182.1,,,0.0015,,,22,,0.6,,,,
,53,1.2095,,,,182.4,,,0.0005,,,22,,0.3,,,,
,54,1.212,,,,182.6,,,0.0025,,,22,,0.2,,,,
