Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-76.4,,,,,,21.1,,,,,,,
,76,0.5,,,,220.8,,0.02,,,,21.5,,,,1,,
,79,0.52,,,,221.7,,0.02,,,,21.5,,,,0.9,,
,82,0.54,,,,222.7,,0.02,,,,21.5,,,,1,,
,85,0.56,,,,223.5,,0.02,,,,21.6,,,,0.8,,
,88,0.58,,,,224.2,,0.02,,,,21.6,,,,0.7,,
,91,0.6,,,,225,,0.02,,,,21.6,,,,0.8,,
,94,0.62,,,,225.8,,0.02,,,,21.6,,,,0.8,,
,97,0.64,,,,226.5,,0.02,,,,21.6,,,,0.7,,
,100,0.66,,,,227.3,,0.02,,,,21.6,,,,0.8,,
,103,0.68,,,,228,,0.02,,,,21.6,,,,0.7,,
,106,0.7,,,,228.8,,0.02,,,,21.6,,,,0.8,,
,109,0.72,,,,229.5,,0.02,,,,21.6,,,,0.7,,
,112,0.74,,,,230.1,,0.02,,,,21.6,,,,0.6,,
,115,0.76,,,,230.7,,0.02,,,,21.6,,,,0.6,,
,118,0.78,,,,231.3,,0.02,,,,21.6,,,,0.6,,
,121,0.8,,,,231.9,,0.02,,,,21.6,,,,0.6,,
,124,0.82,,,,232.5,,0.02,,,,21.6,,,,0.6,,
,127,0.84,,,,233,,0.02,,,,21.6,,,,0.5,,
,130,0.86,,,,233.6,,0.02,,,,21.6,,,,0.6,,
,133,0.88,,,,234.2,,0.02,,,,21.6,,,,0.6,,
,136,0.9,,,,234.8,,0.02,,,,21.6,,,,0.6,,
,139,0.92,,,,235.3,,0.02,,,,21.6,,,,0.5,,
,142,0.94,,,,235.8,,0.02,,,,21.6,,,,0.5,,
,145,0.96,,,,236.3,,0.02,,,,21.6,,,,0.5,,
,148,0.98,,,,236.8,,0.02,,,,21.6,,,,0.5,,
,151,1,,,,237.3,,0.02,,,,21.6,,,,0.5,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 2/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 2/12",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-61.7,,,,,,21.5,,,,,,,
,2,,,,-61.7,,,,,,21.5,,,,0,,,
,3,,,,-61.7,,,,,,21.5,,,,0,,,
,4,,,,-61.7,,,,,,21.5,,,,0,,,
,5,,,,-61.7,,,,,,21.5,,,,0,,,
,6,,,,-61.7,,,,,,21.5,,,,0,,,
,7,,,,-61.7,,,,,,21.5,,,,0,,,
,8,,,,-61.7,,,,,,21.5,,,,0,,,
,9,,,,-61.8,,,,,,21.5,,,,-0.1,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 2/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 2/12",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0,,,,-61.8,,,,,,21.5,,,,,,
,1,0.001,,,,-61.8,,,0.001,,,21.5,,0,,,,
,2,0.005,,,,-61.8,,,0.004,,,21.6,,0,,,,
,3,0.011,,,,-61.5,,,0.006,,,21.6,,0.3,,,,
,4,0.0195,,,,-61,,,0.0085,,,21.5,,0.5,,,,
,5,0.0335,,,,-59.6,,,0.014,,,21.6,,1.4,,,,
,6,0.054,,,,-56.9,,,0.0205,,,21.6,,2.7,,,,
,7,0.078,,,,-53.5,,,0.024,,,21.6,,3.4,,,,
,8,0.1115,,,,-47.7,,,0.0335,,,21.6,,5.8,,,,
,9,0.1535,,,,-39.3,,,0.042,,,21.6,,8.4,,,,
,10,0.204,,,,-28.9,,,0.0505,,,21.6,,10.4,,,,
,11,0.266,,,,-17.1,,,0.062,,,21.6,,11.8,,,,
,12,0.3405,,,,-5.5,,,0.0745,,,21.6,,11.6,,,,
,13,0.417,,,,4.8,,,0.0765,,,21.6,,10.3,,,,
,14,0.5155,,,,18.7,,,0.0985,,,21.6,,13.9,,,,
,15,0.627,,,,34,,,0.1115,,,21.6,,15.3,,,,
,16,0.7515,,,,52,,,0.1245,,,21.6,,18,,,,
,17,0.888,,,,74.5,,,0.1365,,,21.6,,22.5,,,,
,18,0.9895,,,,101.6,,,0.1015,,,21.6,,27.1,,,,
,19,0.99,,,,104.5,,,0.0005,,,21.6,,2.9,,,,
,20,0.993,,,,103.3,,,0.003,,,21.6,,-1.2,,,,
,21,0.997,,,,104.4,,,0.004,,,21.6,,1.1,,,,
,22,1.0035,,,,106.8,,,0.0065,,,21.6,,2.4,,,,
,23,1.0135,,,,110.7,,,0.01,,,21.6,,3.9,,,,
,24,1.0265,,,,115.2,,,0.013,,,21.6,,4.5,,,,
,25,1.0415,,,,119.9,,,0.015,,,21.6,,4.7,,,,
,26,1.057,,,,125.8,,,0.0155,,,21.6,,5.9,,,,
,27,1.075,,,,133.1,,,0.018,,,21.6,,7.3,,,,
,28,1.089,,,,139.9,,,0.014,,,21.6,,6.8,,,,
,29,1.097,,,,145.3,,,0.008,,,21.6,,5.4,,,,
,30,1.1025,,,,148.3,,,0.0055,,,21.6,,3,,,,
,31,1.1085,,,,150.6,,,0.006,,,21.6,,2.3,,,,
,32,1.116,,,,154.3,,,0.0075,,,21.6,,3.7,,,,
,33,1.124,,,,158,,,0.008,,,21.6,,3.7,,,,
,34,1.1295,,,,160.9,,,0.0055,,,21.6,,2.9,,,,
,35,1.1345,,,,163.4,,,0.005,,,21.6,,2.5,,,,
,36,1.14,,,,165.5,,,0.0055,,,21.6,,2.1,,,,
,37,1.145,,,,167.3,,,0.005,,,21.6,,1.8,,,,
,38,1.1505,,,,169.1,,,0.0055,,,21.6,,1.8,,,,
,39,1.156,,,,171,,,0.0055,,,21.6,,1.9,,,,
