Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/4",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/4",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,6,0.0555,,,,-65.5,,,0.021,,,20.8,,0.2,,,,
,7,0.08,,,,-64.6,,,0.0245,,,20.8,,0.9,,,,
,8,0.1145,,,,-62.7,,,0.0345,,,20.8,,1.9,,,,
,9,0.157,,,,-59.4,,,0.0425,,,20.8,,3.3,,,,
,10,0.209,,,,-54.3,,,0.052,,,20.8,,5.1,,,,
,11,0.272,,,,-47.8,,,0.063,,,20.8,,6.5,,,,
,12,0.3475,,,,-40.1,,,0.0755,,,20.8,,7.7,,,,
,13,0.426,,,,-32.8,,,0.0785,,,20.8,,7.3,,,,
,14,0.5255,,,,-24.8,,,0.0995,,,20.8,,8,,,,
,15,0.638,,,,-16.2,,,0.1125,,,20.8,,8.6,,,,
,16,0.764,,,,-6.3,,,0.126,,,20.8,,9.9,,,,
,17,0.902,,,,7.4,,,0.138,,,20.8,,13.7,,,,
,18,1.0525,,,,28.9,,,0.1505,,,20.8,,21.5,,,,
,19,1.1985,,,,58.8,,,0.146,,,20.8,,29.9,,,,
,20,1.374,,,,105.1,,,0.1755,,,20.9,,46.3,,,,
,21,1.3905,,,,162.6,,,0.0165,,,20.9,,57.5,,,,
,22,1.3905,,,,191,,,0,,,20.9,,28.4,,,,
,23,1.3905,,,,198.7,,,0,,,20.9,,7.7,,,,
,24,1.3905,,,,200.8,,,0,,,20.9,,2.1,,,,
,25,1.3905,,,,201.5,,,0,,,20.9,,0.7,,,,
,25,1.3905,,,,201.5,,,0,,,20.9,,0,,,,
,,1.3905,,,,191,,,,,,,,,,,,EP
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 3/4",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 3/4",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,dV,,,,Temp.,,,,dE,,
,[s],[mL],,,,[mV],,[mL],,,,[°C],,,,[mV],,
,0,0,,,,204.6,,,,,,21.2,,,,,,
,3,0.02,,,,207.1,,0.02,,,,21.2,,,,2.5,,
,6,0.04,,,,208.8,,0.02,,,,21.2,,,,1.7,,
,9,0.06,,,,210.6,,0.02,,,,21.2,,,,1.8,,
,12,0.08,,,,212.2,,0.02,,,,21.2,,,,1.6,,
,15,0.1,,,,213.6,,0.02,,,,21.2,,,,1.4,,
,18,0.12,,,,215,,0.02,,,,21.2,,,,1.4,,
,21,0.14,,,,216.4,,0.02,,,,21.2,,,,1.4,,
,24,0.16,,,,224.3,,0.02,,,,21.2,,,,7.9,,
,27,0.18,,,,218.9,,0.02,,,,21.2,,,,-5.4,,
,30,0.2,,,,219.8,,0.02,,,,21.2,,,,0.9,,
,33,0.22,,,,221,,0.02,,,,21.2,,,,1.2,,
,36,0.24,,,,222.1,,0.02,,,,21.2,,,,1.1,,
,39,0.26,,,,223,,0.02,,,,21.2,,,,0.9,,
,42,0.28,,,,223.8,,0.02,,,,21.2,,,,0.8,,
,45,0.3,,,,224.8,,0.02,,,,21.2,,,,1,,
,48,0.32,,,,225.6,,0.02,,,,21.2,,,,0.8,,
,51,0.34,,,,226.2,,0.02,,,,21.2,,,,0.6,,
,54,0.36,,,,227.2,,0.02,,,,21.2,,,,1,,
,58,0.38,,,,227.9,,0.02,,,,21.2,,,,0.7,,
,60,0.4,,,,228.6,,0.02,,,,21.2,,,,0.7,,
,63,0.42,,,,229.3,,0.02,,,,21.2,,,,0.7,,
,66,0.44,,,,230.3,,0.02,,,,21.2,,,,1,,
,69,0.46,,,,230.3,,0.02,,,,21.2,,,,0,,
,72,0.48,,,,231.5,,0.02,,,,21.2,,,,1.2,,
,76,0.5,,,,232.1,,0.02,,,,21.3,,,,0.6,,
,78,0.52,,,,232.7,,0.02,,,,21.3,,,,0.6,,
,82,0.54,,,,233.4,,0.02,,,,21.3,,,,0.7,,
,85,0.56,,,,233.9,,0.02,,,,21.3,,,,0.5,,
,88,0.58,,,,234.5,,0.02,,,,21.3,,,,0.6,,
,91,0.6,,,,235.1,,0.02,,,,21.3,,,,0.6,,
,94,0.62,,,,235.7,,0.02,,,,21.3,,,,0.6,,
,97,0.64,,,,236.2,,0.02,,,,21.3,,,,0.5,,
,100,0.66,,,,236.8,,0.02,,,,21.3,,,,0.6,,
