Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/10",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,70,,0.4600,,,,,224.4,,0.0200,,,19.7,,,,0.9,
,72,,0.4800,,,,,225.3,,0.0200,,,19.7,,,,0.9,
,76,,0.5000,,,,,226.2,,0.0200,,,19.7,,,,0.9,
,78,,0.5200,,,,,227.0,,0.0200,,,19.7,,,,0.8,
,82,,0.5400,,,,,227.8,,0.0200,,,19.7,,,,0.8,
,85,,0.5600,,,,,228.6,,0.0200,,,19.7,,,,0.8,
,88,,0.5800,,,,,229.3,,0.0200,,,19.7,,,,0.7,
,91,,0.6000,,,,,230.0,,0.0200,,,19.7,,,,0.7,
,94,,0.6200,,,,,230.7,,0.0200,,,19.7,,,,0.7,
,97,,0.6400,,,,,231.4,,0.0200,,,19.7,,,,0.7,
,100,,0.6600,,,,,232.1,,0.0200,,,19.7,,,,0.7,
,103,,0.6800,,,,,232.7,,0.0200,,,19.7,,,,0.6,
,106,,0.7000,,,,,233.4,,0.0200,,,19.7,,,,0.7,
,109,,0.7200,,,,,234.0,,0.0200,,,19.7,,,,0.6,
,112,,0.7400,,,,,234.6,,0.0200,,,19.7,,,,0.6,
,115,,0.7600,,,,,235.2,,0.0200,,,19.7,,,,0.6,
,118,,0.7800,,,,,235.8,,0.0200,,,19.7,,,,0.6,
,121,,0.8000,,,,,236.3,,0.0200,,,19.7,,,,0.5,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 3/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 3/10",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-40.9,,,,,,19.4,,,,,,,
,2,,,,-40.9,,,,,,19.4,,,,0.0,,,
,3,,,,-40.9,,,,,,19.4,,,,0.0,,,
,4,,,,-40.9,,,,,,19.4,,,,0.0,,,
,5,,,,-41.0,,,,,,19.4,,,,-0.1,,,
,6,,,,-41.0,,,,,,19.4,,,,0.0,,,
,7,,,,-41.0,,,,,,19.4,,,,0.0,,,
,8,,,,-41.0,,,,,,19.4,,,,0.0,,,
,9,,,,-41.0,,,,,,19.4,,,,0.0,,,
,10,,,,-41.0,,,,,,19.4,,,,0.0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 3/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 3/10",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0.0000,,,,-41.1,,,,,,19.4,,,,,,
,1,0.0010,,,,-41.2,,,0.0010,,,19.4,,-0.1,,,,
,2,0.0050,,,,-41.1,,,0.0040,,,19.4,,0.1,,,,
,3,0.0110,,,,-40.8,,,0.0060,,,19.4,,0.3,,,,
,4,0.0195,,,,-39.8,,,0.0085,,,19.4,,1.0,,,,
,5,0.0335,,,,-37.5,,,0.0140,,,19.4,,2.3,,,,
,6,0.0540,,,,-33.5,,,0.0205,,,19.4,,4.0,,,,
,7,0.0780,,,,-27.5,,,0.0240,,,19.4,,6.0,,,,
,8,0.1115,,,,-18.7,,,0.0335,,,19.4,,8.8,,,,
,9,0.1530,,,,-8.2,,,0.0415,,,19.4,,10.5,,,,
,10,0.2040,,,,2.0,,,0.0510,,,19.4,,10.2,,,,
,11,0.2660,,,,14.5,,,0.0620,,,19.4,,12.5,,,,
,12,0.3400,,,,26.4,,,0.0740,,,19.4,,11.9,,,,
,13,0.4170,,,,37.4,,,0.0770,,,19.4,,11.0,,,,
,14,0.5160,,,,51.0,,,0.0990,,,19.4,,13.6,,,,
,15,0.6270,,,,65.5,,,0.1110,,,19.4,,14.5,,,,
,16,0.7510,,,,81.6,,,0.1240,,,19.4,,16.1,,,,
,17,0.8190,,,,94.4,,,0.0680,,,19.4,,12.8,,,,
,18,0.8315,,,,91.2,,,0.0125,,,19.4,,-3.2,,,,
,19,0.8455,,,,89.2,,,0.0140,,,19.4,,-2.0,,,,
,20,0.8655,,,,90.9,,,0.0200,,,19.4,,1.7,,,,
,21,0.8910,,,,95.5,,,0.0255,,,19.4,,4.6,,,,
,22,0.9205,,,,103.5,,,0.0295,,,19.4,,8.0,,,,
,23,0.9510,,,,108.6,,,0.0305,,,19.4,,5.1,,,,
,24,0.9835,,,,116.2,,,0.0325,,,19.4,,7.6,,,,
,25,1.0115,,,,122.8,,,0.0280,,,19.4,,6.6,,,,
,26,1.0360,,,,127.9,,,0.0245,,,19.4,,5.1,,,,
,27,1.0610,,,,134.7,,,0.0250,,,19.4,,6.8,,,,
,28,1.0780,,,,142.5,,,0.0170,,,19.4,,7.8,,,,
,29,1.0820,,,,145.0,,,0.0040,,,19.4,,2.5,,,,
,30,1.0865,,,,146.8,,,0.0045,,,19.4,,1.8,,,,
,31,1.0925,,,,148.6,,,0.0060,,,19.4,,1.8,,,,
,32,1.1010,,,,152.0,,,0.0085,,,19.4,,3.4,,,,
,33,1.1100,,,,156.3,,,0.0090,,,19.4,,4.3,,,,
,34,1.1160,,,,160.0,,,0.0060,,,19.4,,3.7,,,,
,35,1.1190,,,,162.2,,,0.0030,,,19.4,,2.2,,,,
,36,1.1220,,,,163.7,,,0.0030,,,19.4,,1.5,,,,
,37,1.1255,,,,164.9,,,0.0035,,,19.4,,1.2,,,,
,38,1.1310,,,,166.7,,,0.0055,,,19.4,,1.8,,,,
,39,1.1370,,,,168.8,,,0.0060,,,19.4,,2.1,,,,
,40,1.1410,,,,170.6,,,0.0040,,,19.4,,1.8,,,,
,41,1.1440,,,,171.9,,,0.0030,,,19.4,,1.3,,,,
